,function_name,LLVM_globalisel_tot_instructions
317,5_function_25,7
318,3_function_50,5
319,8_function_36,8
320,3_function_4,1
321,3_function_41,3
322,5_function_16,7
323,7_function_70,12
324,4_function_57,6
325,8_function_31,7
326,7_function_74,12
327,5_function_55,4
328,6_function_82,7
329,6_function_14,2
330,3_function_24,3
331,6_function_0,6
332,5_function_29,3
333,6_function_71,6
334,4_function_2,4
335,8_function_49,5
336,8_function_75,8
337,6_function_67,8
338,8_function_18,8
339,8_function_91,7
340,3_function_93,4
341,5_function_62,5
342,5_function_60,7
343,3_function_88,3
344,8_function_10,8
345,3_function_3,3
346,8_function_54,13
347,3_function_10,3
348,3_function_77,4
349,5_function_13,2
350,3_function_22,1
351,3_function_37,3
352,4_function_26,8
353,4_function_65,2
354,8_function_19,10
355,3_function_72,1
356,6_function_32,5
357,5_function_5,4
358,4_function_87,5
359,3_function_87,7
360,7_function_72,2
361,7_function_86,6
362,7_function_6,14
363,6_function_90,9
364,7_function_97,8
365,8_function_43,8
366,8_function_66,8
367,7_function_78,11
368,5_function_3,3
369,4_function_27,4
370,3_function_84,3
371,5_function_81,6
372,7_function_80,13
373,8_function_94,9
374,3_function_63,3
375,7_function_43,7
376,7_function_53,7
377,7_function_5,10
378,4_function_9,3
379,4_function_58,5
380,3_function_54,2
381,7_function_30,9
382,3_function_2,7
383,8_function_17,8
384,6_function_47,7
385,4_function_37,4
386,4_function_32,4
387,8_function_89,8
388,3_function_27,2
389,4_function_60,4
390,4_function_8,3
391,5_function_14,6
392,5_function_56,7
393,8_function_27,7
394,3_function_5,3
395,5_function_87,3
396,8_function_85,5
397,3_function_21,1
398,6_function_36,8
399,4_function_48,4
400,4_function_66,6
401,4_function_31,3
402,7_function_26,6
403,5_function_30,7
404,5_function_79,5
405,7_function_87,8
406,8_function_5,11
407,8_function_61,9
408,3_function_42,3
409,6_function_35,6
410,8_function_2,5
411,7_function_38,8
412,6_function_57,10
413,5_function_75,2
414,8_function_63,7
415,8_function_82,6
416,5_function_35,6
417,5_function_36,6
418,7_function_55,6
419,5_function_45,4
420,5_function_89,2
421,4_function_41,4
422,6_function_58,5
423,6_function_51,9
424,8_function_47,8
425,6_function_86,7
426,3_function_73,3
427,5_function_97,3
428,7_function_22,7
429,6_function_88,7
430,6_function_3,5
431,7_function_45,6
432,4_function_45,6
433,6_function_53,6
434,3_function_79,3
435,8_function_45,13
436,5_function_41,5
437,4_function_80,5
438,7_function_7,8
439,8_function_7,9
440,5_function_6,2
441,4_function_39,4
442,5_function_96,2
443,7_function_49,7
444,6_function_73,5
445,3_function_28,2
446,7_function_41,13
447,7_function_79,6
448,6_function_80,6
449,7_function_31,6
450,3_function_76,3
451,6_function_8,6
452,3_function_57,4
453,6_function_66,6
454,4_function_92,4
455,4_function_46,2
456,7_function_0,4
457,8_function_23,8
458,6_function_50,6
459,8_function_35,8
460,4_function_88,6
461,4_function_18,3
462,4_function_35,1
463,8_function_20,7
464,8_function_50,9
465,4_function_30,3
466,6_function_94,7
467,3_function_6,4
468,5_function_7,5
469,7_function_52,9
470,3_function_29,2
471,5_function_93,4
472,7_function_68,5
473,7_function_64,7
474,5_function_73,4
475,3_function_71,6
476,6_function_33,5
477,8_function_3,7
478,4_function_85,6
479,5_function_59,4
480,3_function_20,4
481,6_function_11,7
482,5_function_42,7
483,3_function_99,3
484,4_function_77,4
485,3_function_75,3
486,7_function_63,5
487,8_function_6,9
488,5_function_28,5
489,3_function_91,5
490,4_function_36,5
491,3_function_18,4
492,8_function_29,7
493,6_function_20,5
494,4_function_47,6
495,4_function_79,2
496,3_function_15,1
497,4_function_20,4
498,4_function_17,5
499,8_function_24,8
500,4_function_40,7
501,5_function_51,5
502,3_function_96,3
503,8_function_30,10
504,8_function_98,9
505,3_function_35,3
506,7_function_13,7
507,8_function_78,5
508,8_function_62,7
509,8_function_73,12
510,3_function_47,2
511,4_function_4,2
512,3_function_85,5
513,4_function_55,6
514,7_function_93,7
515,4_function_25,4
516,3_function_92,3
517,5_function_92,5
518,7_function_54,6
519,7_function_85,4
520,5_function_27,7
521,8_function_83,7
522,8_function_34,11
523,5_function_47,1
524,5_function_95,4
525,4_function_12,5
526,6_function_5,5
527,3_function_60,3
528,6_function_7,5
529,7_function_1,7
530,3_function_83,6
531,5_function_11,3
532,7_function_42,6
533,7_function_28,9
534,5_function_65,3
535,3_function_45,2
536,6_function_83,6
537,5_function_83,6
538,4_function_95,3
539,4_function_1,3
540,5_function_43,2
541,3_function_78,1
542,5_function_91,6
543,6_function_29,9
544,8_function_11,10
545,4_function_50,4
546,4_function_7,5
547,3_function_39,6
548,7_function_48,6
549,5_function_9,9
550,3_function_58,3
551,8_function_88,8
552,7_function_98,7
553,3_function_31,1
554,4_function_94,4
555,5_function_85,5
556,3_function_11,4
557,3_function_44,4
558,5_function_82,7
559,7_function_27,8
560,3_function_32,1
561,5_function_31,6
562,4_function_49,3
563,3_function_34,4
564,6_function_12,8
565,5_function_10,5
566,3_function_64,2
567,4_function_89,8
568,6_function_34,6
569,4_function_81,4
570,3_function_12,2
571,8_function_15,7
572,3_function_97,6
573,8_function_48,8
574,4_function_53,5
575,7_function_90,9
576,7_function_20,9
577,8_function_33,12
578,6_function_70,8
579,6_function_25,9
580,7_function_76,4
581,6_function_38,6
582,4_function_54,5
583,8_function_92,10
584,7_function_29,7
585,3_function_13,5
586,3_function_7,5
587,6_function_19,6
588,4_function_97,4
589,6_function_48,10
590,4_function_10,1
591,5_function_67,5
592,8_function_51,7
593,6_function_27,7
594,6_function_43,8
595,5_function_8,5
596,6_function_6,7
597,6_function_18,10
598,7_function_62,13
599,7_function_44,5
